id,name,value/value
__export__.product_attribute_38_3ff3f277,Flavor,A.S.A.P. Ice (Apple Peach Strawberry Ice)
,,Bruce Leechee Ice (Mango Lychee Ice)
,,Bubble
,,Creed Rose
,,Kiwi Melon Apple Ice
,,Mama Melon (Honeydew Melon)
,,Sky Purple
,,The Mint
__export__.product_attribute_40_ba9aed44,Nicotine Level,40-50
__export__.product_attribute_44_5bfde801,Volume (mL),4.5mL
,,4mL
,,5ml
,,8mL
__export__.product_attribute_31_f9258654,Brand,GLAS
,,GMDI
__export__.product_attribute_34_af1a1fa4,Color,7-Color Armor
,,7-Color Dart
,,Baby Strip
,,Beige White Leather
,,Blue Haze
,,Brown Leather
,,DTL Black
,,DTL Gray
,,Gold Carbon Fiber
,,Grey Leather
,,Grey Splicing Leather
,,Gunmetal Gray
,,IML Blue Cobra
,,IML White Cobra
,,Jet Black
,,Lavender Haze
,,Lumina
,,Macaroon Blue
,,Matte Blue
,,Matte Gray
,,Matte Gun Metal
,,Matte Red
,,Peacock Green
,,Purple Grey
,,Red & White
,,Red Carbon Fiber
,,Red Stabwood
,,Space Black
,,Spiral Grey
,,Spray Black
,,Starry Night
,,Sunrise Sky
,,Tiffany Blue Carbon Fiber (Peacock)
,,Tiffany Blue Shell (Peacock)
,,Twilight Gold
,,White/Blue
__export__.product_attribute_43_0704264c,Resistance,0.12ohm
,,0.14ohm
,,0.15ohm
,,0.15ohm Mesh
,,0.15ohm Stick Mesh
,,0.16ohm
,,0.23ohm
,,0.25ohm
,,0.2ohm
,,0.32ohm
,,0.35ohm
,,0.45ohm
,,0.55ohm
,,0.5ohm
,,0.6ohm Mesh
,,0.7ohm
,,0.7ohm Mesh
,,0.8ohm MTL
,,0.8ohm Mesh
,,0.9ohm
,,0.9ohm Mesh
,,1.0ohm
,,1.0ohm Mesh
,,1.1ohm
,,1.2ohm
,,1.2ohm Mesh
,,1.2ohm Regular
,,1.4ohm
,,1.4ohm Ceramic
,,1.5ohm Regular
,,1.8ohm
,,B1.2 1.2ohm
,,Dual Mesh 0.3ohm
,,L7 0.3ohm
,,L8 1.2ohm
,,M4 V2 0.2ohm
,,M7 0.2ohm
,,MTL V1 1.0ohm
,,Mesh 0.5ohm
,,RPM 3 Coil
,,Regular 0.8ohm
,,UN2 Mesh-H 0.8ohm
,,V12-T12
,,V8-T10
,,V8-X4
,,X1 0.15ohm
,,X3 0.3ohm
,,X4 0.4ohm
__export__.product_attribute_47_ec306821,Type,M4 Mesh
__export__.product_attribute_247_eea7bc8d,Material,Titanium
__export__.product_attribute_245_4e53b781,Model,Q4
,,RPM 2
,,T12
,,T6
