name,product_template_variant_value_ids/id,default_code,standard_price
DOTM - Dotmod DotPod Plus (Pods)(2-Pack) 3mL,variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_0_6ohm,ONT046415,3.3
DOTM - Dotmod DotPod Plus (Pods)(2-Pack) 3mL,variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_1_0ohm,ONT046417,3.3
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_5ohm,ONT007202,9.39
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_12ohm,ONT002342,8.07
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,ONT006415,7.9
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_2ohm,ONT006440,9.48
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,ONT002306,7.71
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_2ohm,ONT002304,9.39
FRMX - Freemax Fireluke M Series (Coils)(5-Pack),variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,ONT002305,10.49
FRMX - Freemax MS Mesh (Coils)(5-Pack),variant_frmx___freemax_ms_mesh__coils__5_pack__0_25ohm,ONT024463,7.24
FRMX - Freemax MS Mesh (Coils)(5-Pack),variant_frmx___freemax_ms_mesh__coils__5_pack__0_35ohm,ONT024464,7.28
GKVP - Geekvape H45 Hero 2 (Refillable Pods + Coil) 5ml,variant_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml_0_4ohm,ONT045165,7.7
GKVP - Geekvape H45 Hero 2 (Refillable Pods + Coil) 5ml,variant_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml_0_6ohm,ONT045166,7.7
GKVP - Geekvape J (Coils)(5-Pack),variant_gkvp___geekvape_j__coils__5_pack__0_4ohm,ONT044583,6.73
GKVP - Geekvape J (Coils)(5-Pack),variant_gkvp___geekvape_j__coils__5_pack__0_6ohm,ONT044584,6.73
GKVP - Geekvape J (Coils)(5-Pack),variant_gkvp___geekvape_j__coils__5_pack__0_8ohm,ONT044585,6.73
GKVP - Geekvape J (Coils)(5-Pack),variant_gkvp___geekvape_j__coils__5_pack__1_2ohm,ONT044586,6.73
GKVP - Geekvape Wenax H1 (Pods)(3-Pack),variant_gkvp___geekvape_wenax_h1__pods__3_pack__0_7ohm,ONT027668,4.15
GKVP - Geekvape Wenax H1 (Pods)(3-Pack),variant_gkvp___geekvape_wenax_h1__pods__3_pack__1_4ohm,ONT027669,4.15
HRZN - Horizon Falcon (Coils)(3-Pack),variant_hrzn___horizon_falcon__coils__3_pack__m1,ONT002372,5.59
HRZN - Horizon Falcon (Coils)(3-Pack),variant_hrzn___horizon_falcon__coils__3_pack__0_15ohm,ONT034237,5.55
HRZN - Horizon Falcon (Coils)(3-Pack),variant_hrzn___horizon_falcon__coils__3_pack__0_15ohm,ONT034238,5.55
HRZN - Horizon Falcon (Coils)(3-Pack),variant_hrzn___horizon_falcon__coils__3_pack__m_triple,ONT002376,8.62
HRZN - Horizon Talons (Pods)(2-Pack),variant_hrzn___horizon_talons__pods__2_pack__0_4ohm,ONT042035,2.95
HRZN - Horizon Talons (Pods)(2-Pack),variant_hrzn___horizon_talons__pods__2_pack__0_6ohm,ONT039759,2.95
HRZN - Horizon Talons (Pods)(2-Pack),variant_hrzn___horizon_talons__pods__2_pack__0_8ohm,ONT039760,2.95
HRZN - Horizon Talons (Pods)(2-Pack),variant_hrzn___horizon_talons__pods__2_pack__1_0ohm,ONT039761,2.95
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__0_15ohm,ONT002150,6.45
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__0_25ohm,ONT002151,6.46
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__0_15ohm_mesh,ONT002162,7.49
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__0_4ohm,ONT002152,6.43
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__0_6ohm,ONT002153,6.45
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__q4,ONT002154,4.95
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__t12,ONT002158,3.5
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__t6,ONT002156,4.95
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__variant_002157,ONT002157,9.6
IVPS - SMOK Baby (Coils)(5-Pack),variant_ivps___smok_baby__coils__5_pack__variant_002155,ONT002155,7.29
IVPS - SMOK D-Coil (Coils)(5-Pack),variant_ivps___smok_d_coil__coils__5_pack__0_15ohm,ONT043511,6.33
IVPS - SMOK D-Coil (Coils)(5-Pack),variant_ivps___smok_d_coil__coils__5_pack__0_23ohm,ONT043512,6.33
IVPS - SMOK M (Coils)(5-Pack),variant_ivps___smok_m__coils__5_pack__0_4ohm,ONT039064,6.88
IVPS - SMOK M (Coils)(5-Pack),variant_ivps___smok_m__coils__5_pack__0_6ohm,ONT039062,6.88
IVPS - SMOK M (Coils)(5-Pack),variant_ivps___smok_m__coils__5_pack__0_8ohm,ONT039063,6.88
IVPS - SMOK Nord (Coils)(5-Pack),variant_ivps___smok_nord__coils__5_pack__0_8ohm,ONT003103,6.09
IVPS - SMOK Nord (Coils)(5-Pack),variant_ivps___smok_nord__coils__5_pack__0_8ohm,ONT015918,6.05
IVPS - SMOK Nord 50W (Pods)(3-Pack),variant_ivps___smok_nord_50w__pods__3_pack__variant_023122,ONT023122,2.94
IVPS - SMOK Nord 50W (Pods)(3-Pack),variant_ivps___smok_nord_50w__pods__3_pack__variant_023123,ONT023123,2.99
IVPS - SMOK Nord Pro (Coils)(5-Pack),variant_ivps___smok_nord_pro__coils__5_pack__0_6ohm_mesh,ONT024070,7.45
IVPS - SMOK Nord Pro (Coils)(5-Pack),variant_ivps___smok_nord_pro__coils__5_pack__0_9ohm,ONT024071,7.44
IVPS - SMOK Novo (Pods)(3-Pack),variant_ivps___smok_novo__pods__3_pack__1_4ohm_ceramic,ONT003075,4.23
IVPS - SMOK Novo (Pods)(3-Pack),variant_ivps___smok_novo__pods__3_pack__1_2ohm_regular,ONT003073,3.58
IVPS - SMOK Novo (Pods)(3-Pack),variant_ivps___smok_novo__pods__3_pack__1_5ohm_regular,ONT003074,3.58
IVPS - SMOK Novo 2 (Pods)(3-Pack),variant_ivps___smok_novo_2__pods__3_pack__1_4ohm,ONT006937,3.71
IVPS - SMOK Novo 2 (Pods)(3-Pack),variant_ivps___smok_novo_2__pods__3_pack__1_0ohm,ONT006938,4.02
IVPS - SMOK Novo 2 (Pods)(3-Pack),variant_ivps___smok_novo_2__pods__3_pack__1_4ohm,ONT024048,4.43
IVPS - SMOK Novo SLR (Pods)(3-Pack) 2mL,variant_ivps___smok_novo_slr__pods__3_pack__2ml_0_6ohm,ONT045079,4.11
IVPS - SMOK Novo SLR (Pods)(3-Pack) 2mL,variant_ivps___smok_novo_slr__pods__3_pack__2ml_0_8ohm,ONT045080,4.11
IVPS - SMOK Novo SLR (Pods)(3-Pack) 2mL,variant_ivps___smok_novo_slr__pods__3_pack__2ml_1_0ohm,ONT045081,4.11
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002196,ONT002196,2.5
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__0_2ohm,ONT002193,5.66
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002186,ONT002186,4.5
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002195,ONT002195,4.6
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__0_15ohm,ONT002191,5.1
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002187,ONT002187,4.47
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002192,ONT002192,3.36
IVPS - SMOK Prince (Coils)(3-Pack),variant_ivps___smok_prince__coils__3_pack__variant_002194,ONT002194,6.3
IVPS - SMOK TFV8 (Coils)(3-Pack),variant_ivps___smok_tfv8__coils__3_pack__v8_t10,ONT002170,2.95
IVPS - SMOK TFV8 (Coils)(3-Pack),variant_ivps___smok_tfv8__coils__3_pack__v8_x4,ONT002167,2.5
IVPS - SMOK Vape Pen (Coils)(5-Pack),variant_ivps___smok_vape_pen__coils__5_pack__0_25ohm,ONT021636,6.43
IVPS - SMOK Vape Pen (Coils)(5-Pack),variant_ivps___smok_vape_pen__coils__5_pack__0_15ohm_mesh,ONT017446,6.78
IVPS - SMOK Vape Pen 22 (Coils)(5-Pack),variant_ivps___smok_vape_pen_22__coils__5_pack__0_3ohm,ONT004191,6.44
IVPS - SMOK Vape Pen 22 (Coils)(5-Pack),variant_ivps___smok_vape_pen_22__coils__5_pack__x4_0_4ohm,ONT004192,4.95
LSTV - Lost Vape UB Lite (Coils)(5-Pack),variant_lstv___lost_vape_ub_lite__coils__5_pack__l7_0_3ohm,ONT031722,5.19
LSTV - Lost Vape UB Lite (Coils)(5-Pack),variant_lstv___lost_vape_ub_lite__coils__5_pack__l8_1_2ohm,ONT031723,5.19
LSTV - Lost Vape UB Max (Coils)(3-Pack),variant_lstv___lost_vape_ub_max__coils__3_pack__x1_0_15ohm,ONT028856,4.62
LSTV - Lost Vape UB Max (Coils)(3-Pack),variant_lstv___lost_vape_ub_max__coils__3_pack__x3_0_3ohm,ONT028858,4.61
LSTV - Lost Vape Ultra Boost (Coils)(5-Pack),variant_lstv___lost_vape_ultra_boost__coils__5_pack__m4_v2_0_2ohm,ONT017365,4.5
LSTV - Lost Vape Ultra Boost (Coils)(5-Pack),variant_lstv___lost_vape_ultra_boost__coils__5_pack__mtl_v1_1_0ohm,ONT008763,4.5
LSTV - Lost Vape Ursa V2 (Pods)(3-Pack) 2.5mL,variant_lstv___lost_vape_ursa_v2__pods__3_pack__2_5ml_0_6ohm,ONT041379,4.64
LSTV - Lost Vape Ursa V2 (Pods)(3-Pack) 2.5mL,variant_lstv___lost_vape_ursa_v2__pods__3_pack__2_5ml_0_8ohm,ONT041380,4.4
OXBR - SVOPP Pods (Liq Pod)(30000Puff)(13mL) Pod Juice Edt.,variant_oxbr___svopp_pods__liq_pod__30000puff__13ml__pod_juice_edt__clear_ruby,ONT044279,5.0
OXBR - SVOPP Pods (Liq Pod)(30000Puff)(13mL) Pod Juice Edt.,variant_oxbr___svopp_pods__liq_pod__30000puff__13ml__pod_juice_edt__clear_turquoise,ONT044280,5.0
PATA - Urban Tale Xplore (Pods)(3-Pack) 2mL,variant_pata___urban_tale_xplore__pods__3_pack__2ml_0_6ohm,ONT043667,4.4
PATA - Urban Tale Xplore (Pods)(3-Pack) 2mL,variant_pata___urban_tale_xplore__pods__3_pack__2ml_0_8ohm,ONT043668,4.4
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000103,ONT000103,0.0
