sku,name,qty,price,category,product_name,flavor,nicotine_mg,volume_ml,template_key,template_id,variant_id
ONT028590,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 03mg,0.5,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Banana Cantaloupe Honeydew,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0000
ONT028591,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 06mg,0.3,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Banana Cantaloupe Honeydew,6.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0001
ONT028593,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 03mg,0.2,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Banana Cantaloupe Honeydew Iced,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0002
ONT028594,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 06mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Banana Cantaloupe Honeydew Iced,6.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0003
ONT030684,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grape Apple Aloe Iced 03mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Grape Apple Aloe Iced,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0004
ONT031390,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango 03mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Grapefruit Orange Mango,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0005
ONT031393,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 03mg,0.2,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Grapefruit Orange Mango Iced,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0006
ONT031394,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 06mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Grapefruit Orange Mango Iced,6.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0007
ONT031367,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava 06mg,0.2,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Kiwi Passion Guava,6.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0008
ONT031369,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 03mg,0.2,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Kiwi Passion Guava Iced,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0009
ONT031370,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 06mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Kiwi Passion Guava Iced,6.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0010
ONT028596,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry 03mg,0.1,5.75,All / Saleable / E-Juice,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,Lemon Passionfruit Blueberry,3.0,100.0,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN|100.0,TPL_0000,VAR_0011
