sku,product_name,source,reason
ONT031919,,regex,no_template_match
ONT031922,,regex,no_template_match
ONT029703,,regex,no_template_match
ONT044868,,regex,no_template_match
ONT043544,,regex,no_template_match
ONT043547,,regex,no_template_match
ONT043551,,regex,no_template_match
ONT027382,,regex,no_template_match
ONT027386,,regex,no_template_match
ONT022888,,regex,no_template_match
ONT032086,,regex,no_template_match
ONT032079,,regex,no_template_match
ONT032081,,regex,no_template_match
ONT032082,,regex,no_template_match
ONT032083,,regex,no_template_match
ONT032085,,regex,no_template_match
ONT044587,,regex,no_template_match
ONT044588,,regex,no_template_match
ONT044594,,regex,no_template_match
ONT028980,,regex,no_template_match
ONT045165,GKVP - Geekvape H45 Hero 2 (Refillable Pods + Coil) 5ml,llm,no_attribute_match
ONT045166,GKVP - Geekvape H45 Hero 2 (Refillable Pods + Coil) 5ml,llm,no_attribute_match
ONT044583,GKVP - Geekvape J (Coils)(5-Pack),llm,no_attribute_match
ONT044584,GKVP - Geekvape J (Coils)(5-Pack),llm,no_attribute_match
ONT044585,GKVP - Geekvape J (Coils)(5-Pack),llm,no_attribute_match
ONT044586,GKVP - Geekvape J (Coils)(5-Pack),llm,no_attribute_match
ONT027666,GKVP - Geekvape P (Coils)(5-Pack),llm,no_attribute_match
ONT027668,GKVP - Geekvape Wenax H1 (Pods)(3-Pack),llm,no_attribute_match
ONT027669,GKVP - Geekvape Wenax H1 (Pods)(3-Pack),llm,no_attribute_match
ONT041404,,regex,no_template_match
ONT040662,,regex,no_template_match
ONT045160,,regex,no_template_match
ONT041622,,regex,no_template_match
ONT040059,,regex,no_template_match
ONT016480,,regex,no_template_match
ONT016481,,regex,no_template_match
ONT016482,,regex,no_template_match
ONT016484,,regex,no_template_match
ONT016487,,regex,no_template_match
ONT016488,,regex,no_template_match
ONT016489,,regex,no_template_match
ONT016490,,regex,no_template_match
ONT016491,,regex,no_template_match
ONT016492,,regex,no_template_match
ONT016493,,regex,no_template_match
ONT020815,,regex,no_template_match
ONT016494,,regex,no_template_match
ONT030590,,regex,no_template_match
ONT002372,HRZN - Horizon Falcon (Coils)(3-Pack),llm,no_attribute_match
ONT034237,HRZN - Horizon Falcon (Coils)(3-Pack),llm,no_attribute_match
ONT034238,HRZN - Horizon Falcon (Coils)(3-Pack),llm,no_attribute_match
ONT002376,HRZN - Horizon Falcon (Coils)(3-Pack),llm,no_attribute_match
ONT002164,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT002154,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT002158,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT002156,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT002157,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT002155,IVPS - SMOK Baby (Coils)(5-Pack),llm,no_attribute_match
ONT019975,IVPS - SMOK IPX 80 (Pods)(3-Pack),llm,no_attribute_match
ONT015918,,regex,no_template_match
ONT008784,,regex,no_template_match
ONT008794,,regex,no_template_match
ONT017857,,regex,no_template_match
ONT017858,,regex,no_template_match
ONT017861,,regex,no_template_match
ONT017863,,regex,no_template_match
ONT017868,,regex,no_template_match
ONT029182,,regex,no_template_match
ONT029188,,regex,no_template_match
ONT029187,,regex,no_template_match
ONT029184,,regex,no_template_match
ONT029180,,regex,no_template_match
ONT029181,,regex,no_template_match
ONT029189,,regex,no_template_match
ONT029179,,regex,no_template_match
ONT023122,,regex,no_template_match
ONT023123,,regex,no_template_match
ONT038363,,regex,no_template_match
ONT038355,,regex,no_template_match
ONT015786,,regex,no_template_match
ONT015787,,regex,no_template_match
ONT015789,,regex,no_template_match
ONT015790,,regex,no_template_match
ONT015791,,regex,no_template_match
ONT002196,,regex,no_template_match
ONT002193,,regex,no_template_match
ONT002186,,regex,no_template_match
ONT002195,,regex,no_template_match
ONT002191,,regex,no_template_match
ONT002187,,regex,no_template_match
ONT002192,,regex,no_template_match
ONT002194,,regex,no_template_match
ONT035916,,regex,no_template_match
ONT035913,,regex,no_template_match
ONT035914,,regex,no_template_match
ONT035918,,regex,no_template_match
ONT004193,,regex,no_template_match
ONT004198,,regex,no_template_match
ONT004194,,regex,no_template_match
ONT030964,IVPS - SMOK RPM 85/100 (Pods)(3-Pack),llm,no_attribute_match
ONT002170,IVPS - SMOK TFV8 (Coils)(3-Pack),llm,no_attribute_match
ONT002167,IVPS - SMOK TFV8 (Coils)(3-Pack),llm,no_attribute_match
ONT031722,LSTV - Lost Vape UB Lite (Coils)(5-Pack),llm,no_attribute_match
ONT031723,LSTV - Lost Vape UB Lite (Coils)(5-Pack),llm,no_attribute_match
ONT028856,LSTV - Lost Vape UB Max (Coils)(3-Pack),llm,no_attribute_match
ONT028858,LSTV - Lost Vape UB Max (Coils)(3-Pack),llm,no_attribute_match
ONT044279,OXBR - SVOPP Pods (Liq Pod)(30000Puff)(13mL) Pod Juice Edt.,llm,no_attribute_match
ONT044280,OXBR - SVOPP Pods (Liq Pod)(30000Puff)(13mL) Pod Juice Edt.,llm,no_attribute_match
ONT000138,SCHW - Naked (LIQ FB)(60mL) *,regex,no_attribute_match
ONT000139,SCHW - Naked (LIQ FB)(60mL) *,regex,no_attribute_match
ONT030236,UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,llm,no_attribute_match
ONT017409,VOPO - Voopoo PnP (Pods)(2-Pack),llm,no_attribute_match
ONT035638,VOPO - Voopoo PnP (Pods)(2-Pack),llm,no_attribute_match
