id,name,product_template_variant_value_ids/id,default_code,standard_price
__export__.product_product_25943_e153833f,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21536_99c90615,__export__.product_template_attribute_value_21562_085f9290",ONT028590,5.75
__export__.product_product_25944_30c07078,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21536_99c90615,__export__.product_template_attribute_value_21563_06fed727",ONT028591,5.75
__export__.product_product_25943_e153833f,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21537_b224dab4,__export__.product_template_attribute_value_21562_085f9290",ONT028593,5.75
__export__.product_product_25944_30c07078,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21537_b224dab4,__export__.product_template_attribute_value_21563_06fed727",ONT028594,5.75
__export__.product_product_25950_dc32c889,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21538_d3262fe7,__export__.product_template_attribute_value_21562_085f9290",ONT030684,5.75
__export__.product_product_25953_080375a1,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21539_4f001dab,__export__.product_template_attribute_value_21562_085f9290",ONT031390,5.75
__export__.product_product_25953_080375a1,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21540_a0d37090,__export__.product_template_attribute_value_21562_085f9290",ONT031393,5.75
__export__.product_product_25954_37655dba,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21540_a0d37090,__export__.product_template_attribute_value_21563_06fed727",ONT031394,5.75
__export__.product_product_25960_b26c099d,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21541_144860b2,__export__.product_template_attribute_value_21563_06fed727",ONT031367,5.75
__export__.product_product_25959_490aaa85,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21542_3048c75f,__export__.product_template_attribute_value_21562_085f9290",ONT031369,5.75
__export__.product_product_25960_b26c099d,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21542_3048c75f,__export__.product_template_attribute_value_21563_06fed727",ONT031370,5.75
__export__.product_product_25965_50aaa032,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21543_50b2c9ec,__export__.product_template_attribute_value_21562_085f9290",ONT028596,5.75
__export__.product_product_25965_50aaa032,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21544_8f9e55ce,__export__.product_template_attribute_value_21562_085f9290",ONT028599,5.75
__export__.product_product_25966_b277a57a,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21544_8f9e55ce,__export__.product_template_attribute_value_21563_06fed727",ONT028600,5.75
__export__.product_product_25971_22779bfd,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21545_30ef308b,__export__.product_template_attribute_value_21562_085f9290",ONT031384,5.75
__export__.product_product_25972_a3dcfb59,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21545_30ef308b,__export__.product_template_attribute_value_21563_06fed727",ONT031385,5.75
__export__.product_product_25974_a5adbc27,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21546_0239caa8,__export__.product_template_attribute_value_21562_085f9290",ONT028602,5.75
__export__.product_product_25975_02873253,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21546_0239caa8,__export__.product_template_attribute_value_21563_06fed727",ONT028603,5.75
__export__.product_product_25974_a5adbc27,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21547_b70f9e94,__export__.product_template_attribute_value_21562_085f9290",ONT028605,5.75
__export__.product_product_25975_02873253,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21547_b70f9e94,__export__.product_template_attribute_value_21563_06fed727",ONT028606,5.75
__export__.product_product_25979_55404b4b,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21548_bdffe8a9,__export__.product_template_attribute_value_21561_b7ae380b",ONT028607,5.75
__export__.product_product_25980_6b92dab7,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21548_bdffe8a9,__export__.product_template_attribute_value_21562_085f9290",ONT028608,5.75
__export__.product_product_25981_67ba9045,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21548_bdffe8a9,__export__.product_template_attribute_value_21563_06fed727",ONT028609,5.75
__export__.product_product_25980_6b92dab7,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21549_d351f12b,__export__.product_template_attribute_value_21562_085f9290",ONT028611,5.75
__export__.product_product_25981_67ba9045,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21549_d351f12b,__export__.product_template_attribute_value_21563_06fed727",ONT028612,5.75
__export__.product_product_25986_7cdbd3ad,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21550_414122a2,__export__.product_template_attribute_value_21562_085f9290",ONT030702,5.75
__export__.product_product_25989_f3844959,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21551_e38154c1,__export__.product_template_attribute_value_21562_085f9290",ONT028614,5.75
__export__.product_product_25990_7595c111,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21551_e38154c1,__export__.product_template_attribute_value_21563_06fed727",ONT028615,5.75
__export__.product_product_25989_f3844959,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21552_80fb7b1c,__export__.product_template_attribute_value_21562_085f9290",ONT028617,5.75
__export__.product_product_25990_7595c111,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21552_80fb7b1c,__export__.product_template_attribute_value_21563_06fed727",ONT028618,5.75
__export__.product_product_25995_ba8eccb1,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21553_660fc2bc,__export__.product_template_attribute_value_21562_085f9290",ONT031372,5.75
__export__.product_product_25995_ba8eccb1,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21554_c518244b,__export__.product_template_attribute_value_21562_085f9290",ONT031375,5.75
__export__.product_product_25996_ab476fe3,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21554_c518244b,__export__.product_template_attribute_value_21563_06fed727",ONT031376,5.75
__export__.product_product_26001_14f48ec2,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21555_9e4e785e,__export__.product_template_attribute_value_21562_085f9290",ONT030705,5.75
__export__.product_product_26001_14f48ec2,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21556_f226c62e,__export__.product_template_attribute_value_21562_085f9290",ONT030708,5.75
__export__.product_product_26002_0d1fd2a5,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21556_f226c62e,__export__.product_template_attribute_value_21563_06fed727",ONT030709,5.75
__export__.product_product_26007_48dd1243,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21557_24a07d7c,__export__.product_template_attribute_value_21562_085f9290",ONT030693,5.75
__export__.product_product_26008_dfa8850a,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21557_24a07d7c,__export__.product_template_attribute_value_21563_06fed727",ONT030694,5.75
__export__.product_product_26007_48dd1243,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21558_56f2e9f6,__export__.product_template_attribute_value_21562_085f9290",ONT030696,5.75
__export__.product_product_26013_404498b9,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21559_c3ef4061,__export__.product_template_attribute_value_21562_085f9290",ONT031378,5.75
__export__.product_product_26014_fafed3a6,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21559_c3ef4061,__export__.product_template_attribute_value_21563_06fed727",ONT031379,5.75
__export__.product_product_26013_404498b9,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,"__export__.product_template_attribute_value_21560_562ceb80,__export__.product_template_attribute_value_21562_085f9290",ONT031381,5.75
__export__.product_product_26018_892a417e,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21564_f382838c,__export__.product_template_attribute_value_21580_222ff981",ONT036888,5.75
__export__.product_product_26019_926b862c,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21564_f382838c,__export__.product_template_attribute_value_21581_6134a0d1",ONT036889,5.75
__export__.product_product_26020_44545ca6,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21564_f382838c,__export__.product_template_attribute_value_21582_6020aa60",ONT036890,5.75
__export__.product_product_26018_892a417e,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21565_62c36bbe,__export__.product_template_attribute_value_21580_222ff981",ONT036909,5.75
__export__.product_product_26019_926b862c,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21565_62c36bbe,__export__.product_template_attribute_value_21581_6134a0d1",ONT036910,5.75
__export__.product_product_26020_44545ca6,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21565_62c36bbe,__export__.product_template_attribute_value_21582_6020aa60",ONT036911,5.75
__export__.product_product_26024_7fbae23a,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21566_bdfc4f17,__export__.product_template_attribute_value_21580_222ff981",ONT036891,5.75
__export__.product_product_26025_692029dd,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21566_bdfc4f17,__export__.product_template_attribute_value_21581_6134a0d1",ONT036892,5.75
__export__.product_product_26026_439e2427,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21566_bdfc4f17,__export__.product_template_attribute_value_21582_6020aa60",ONT036893,5.75
__export__.product_product_26024_7fbae23a,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21567_c11c86fa,__export__.product_template_attribute_value_21580_222ff981",ONT036912,5.75
__export__.product_product_26025_692029dd,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21567_c11c86fa,__export__.product_template_attribute_value_21581_6134a0d1",ONT036913,5.75
__export__.product_product_26026_439e2427,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21567_c11c86fa,__export__.product_template_attribute_value_21582_6020aa60",ONT036914,5.75
__export__.product_product_26030_70d95c14,7DZE - 7Daze (LIQ FB)(100mL) Reds,"__export__.product_template_attribute_value_21568_9f7b114b,__export__.product_template_attribute_value_21580_222ff981",ONT036894,5.75
