sku,name,qty,price,category
ONT028590,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 03mg,0.5,5.75,All / Saleable / E-Juice
ONT028591,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 06mg,0.3,5.75,All / Saleable / E-Juice
ONT028593,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 03mg,0.2,5.75,All / Saleable / E-Juice
ONT028594,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 06mg,0.1,5.75,All / Saleable / E-Juice
ONT030684,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grape Apple Aloe Iced 03mg,0.1,5.75,All / Saleable / E-Juice
ONT031390,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango 03mg,0.1,5.75,All / Saleable / E-Juice
ONT031393,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 03mg,0.2,5.75,All / Saleable / E-Juice
ONT031394,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 06mg,0.1,5.75,All / Saleable / E-Juice
ONT031367,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava 06mg,0.2,5.75,All / Saleable / E-Juice
ONT031369,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 03mg,0.2,5.75,All / Saleable / E-Juice
ONT031370,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 06mg,0.1,5.75,All / Saleable / E-Juice
ONT028596,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry 03mg,0.1,5.75,All / Saleable / E-Juice
ONT028599,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry Iced 03mg,0.2,5.75,All / Saleable / E-Juice
ONT028600,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry Iced 06mg,0.1,5.75,All / Saleable / E-Juice
ONT031384,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Cream Mango 03mg,0.1,5.75,All / Saleable / E-Juice
