"id","name","value_ids/id","value_ids/name"
variant_type,"Variant Type",variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_0_6ohm,"0.6ohm"
"","",variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_1_0ohm,"1.0ohm"
"","",variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_5ohm,"0.5ohm"
"","",variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_12ohm,"0.12ohm"
"","",variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,"0.15ohm"
"","",variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_2ohm,"0.2ohm"
"","",variant_frmx___freemax_ms_mesh__coils__5_pack__0_25ohm,"0.25ohm"
"","",variant_frmx___freemax_ms_mesh__coils__5_pack__0_35ohm,"0.35ohm"
"","",variant_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml_0_4ohm,"0.4ohm"
"","",variant_gkvp___geekvape_j__coils__5_pack__0_8ohm,"0.8ohm"
"","",variant_gkvp___geekvape_j__coils__5_pack__1_2ohm,"1.2ohm"
"","",variant_gkvp___geekvape_wenax_h1__pods__3_pack__0_7ohm,"0.7ohm"
"","",variant_gkvp___geekvape_wenax_h1__pods__3_pack__1_4ohm,"1.4ohm"
"","",variant_hrzn___horizon_falcon__coils__3_pack__m1,"M1"
"","",variant_hrzn___horizon_falcon__coils__3_pack__m_triple,"M-Triple"
"","",variant_ivps___smok_baby__coils__5_pack__0_15ohm_mesh,"0.15ohm Mesh"
"","",variant_ivps___smok_baby__coils__5_pack__q4,"Q4"
"","",variant_ivps___smok_baby__coils__5_pack__t12,"T12"
"","",variant_ivps___smok_baby__coils__5_pack__t6,"T6"
"","",variant_ivps___smok_baby__coils__5_pack__variant_002157,"Variant 002157"
"","",variant_ivps___smok_baby__coils__5_pack__variant_002155,"Variant 002155"
"","",variant_ivps___smok_d_coil__coils__5_pack__0_23ohm,"0.23ohm"
"","",variant_ivps___smok_ipx_80__pods__3_pack__rpm_2,"RPM 2"
"","",variant_ivps___smok_nord_50w__pods__3_pack__variant_023122,"Variant 023122"
"","",variant_ivps___smok_nord_50w__pods__3_pack__variant_023123,"Variant 023123"
"","",variant_ivps___smok_nord_pro__coils__5_pack__0_6ohm_mesh,"0.6ohm Mesh"
"","",variant_ivps___smok_nord_pro__coils__5_pack__0_9ohm,"0.9ohm"
"","",variant_ivps___smok_novo__pods__3_pack__1_4ohm_ceramic,"1.4ohm Ceramic"
"","",variant_ivps___smok_novo__pods__3_pack__1_2ohm_regular,"1.2ohm Regular"
"","",variant_ivps___smok_novo__pods__3_pack__1_5ohm_regular,"1.5ohm Regular"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002196,"Variant 002196"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002186,"Variant 002186"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002195,"Variant 002195"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002187,"Variant 002187"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002192,"Variant 002192"
"","",variant_ivps___smok_prince__coils__3_pack__variant_002194,"Variant 002194"
"","",variant_ivps___smok_tfv8__coils__3_pack__v8_t10,"V8-T10"
"","",variant_ivps___smok_tfv8__coils__3_pack__v8_x4,"V8-X4"
"","",variant_ivps___smok_vape_pen_22__coils__5_pack__0_3ohm,"0.3ohm"
"","",variant_ivps___smok_vape_pen_22__coils__5_pack__x4_0_4ohm,"X4 0.4ohm"
"","",variant_lstv___lost_vape_ub_lite__coils__5_pack__l7_0_3ohm,"L7 0.3ohm"
"","",variant_lstv___lost_vape_ub_lite__coils__5_pack__l8_1_2ohm,"L8 1.2ohm"
"","",variant_lstv___lost_vape_ub_max__coils__3_pack__x1_0_15ohm,"X1 0.15ohm"
"","",variant_lstv___lost_vape_ub_max__coils__3_pack__x3_0_3ohm,"X3 0.3ohm"
