id,name,categ_id/id,type,sale_ok,standard_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_dotm___dotmod_dotpod_plus__pods__2_pack__3ml,DOTM - Dotmod DotPod Plus (Pods)(2-Pack) 3mL,__export__.product_category_9_bc43a31e,consu,True,3.30,,variant_type,"variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_0_6ohm,variant_dotm___dotmod_dotpod_plus__pods__2_pack__3ml_1_0ohm"
template_frmx___freemax_fireluke_m_series__coils__5_pack_,FRMX - Freemax Fireluke M Series (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,8.92,,variant_type,"variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_5ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_12ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_2ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_2ohm,variant_frmx___freemax_fireluke_m_series__coils__5_pack__0_15ohm"
template_frmx___freemax_ms_mesh__coils__5_pack_,FRMX - Freemax MS Mesh (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,7.26,,variant_type,"variant_frmx___freemax_ms_mesh__coils__5_pack__0_25ohm,variant_frmx___freemax_ms_mesh__coils__5_pack__0_35ohm"
template_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml,GKVP - Geekvape H45 Hero 2 (Refillable Pods + Coil) 5ml,__export__.product_category_9_bc43a31e,consu,True,7.70,,variant_type,"variant_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml_0_4ohm,variant_gkvp___geekvape_h45_hero_2__refillable_pods___coil__5ml_0_6ohm"
template_gkvp___geekvape_j__coils__5_pack_,GKVP - Geekvape J (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.73,,variant_type,"variant_gkvp___geekvape_j__coils__5_pack__0_4ohm,variant_gkvp___geekvape_j__coils__5_pack__0_6ohm,variant_gkvp___geekvape_j__coils__5_pack__0_8ohm,variant_gkvp___geekvape_j__coils__5_pack__1_2ohm"
template_gkvp___geekvape_wenax_h1__pods__3_pack_,GKVP - Geekvape Wenax H1 (Pods)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,4.15,,variant_type,"variant_gkvp___geekvape_wenax_h1__pods__3_pack__0_7ohm,variant_gkvp___geekvape_wenax_h1__pods__3_pack__1_4ohm"
template_hrzn___horizon_falcon__coils__3_pack_,HRZN - Horizon Falcon (Coils)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,6.33,,variant_type,"variant_hrzn___horizon_falcon__coils__3_pack__m1,variant_hrzn___horizon_falcon__coils__3_pack__0_15ohm,variant_hrzn___horizon_falcon__coils__3_pack__0_15ohm,variant_hrzn___horizon_falcon__coils__3_pack__m_triple"
template_hrzn___horizon_talons__pods__2_pack_,HRZN - Horizon Talons (Pods)(2-Pack),__export__.product_category_9_bc43a31e,consu,True,2.95,,variant_type,"variant_hrzn___horizon_talons__pods__2_pack__0_4ohm,variant_hrzn___horizon_talons__pods__2_pack__0_6ohm,variant_hrzn___horizon_talons__pods__2_pack__0_8ohm,variant_hrzn___horizon_talons__pods__2_pack__1_0ohm"
template_ivps___smok_baby__coils__5_pack_,IVPS - SMOK Baby (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.36,,variant_type,"variant_ivps___smok_baby__coils__5_pack__0_15ohm,variant_ivps___smok_baby__coils__5_pack__0_25ohm,variant_ivps___smok_baby__coils__5_pack__0_15ohm_mesh,variant_ivps___smok_baby__coils__5_pack__0_4ohm,variant_ivps___smok_baby__coils__5_pack__0_6ohm,variant_ivps___smok_baby__coils__5_pack__q4,variant_ivps___smok_baby__coils__5_pack__t12,variant_ivps___smok_baby__coils__5_pack__t6,variant_ivps___smok_baby__coils__5_pack__variant_002157,variant_ivps___smok_baby__coils__5_pack__variant_002155"
template_ivps___smok_d_coil__coils__5_pack_,IVPS - SMOK D-Coil (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.33,,variant_type,"variant_ivps___smok_d_coil__coils__5_pack__0_15ohm,variant_ivps___smok_d_coil__coils__5_pack__0_23ohm"
simple_ivps___smok_ipx_80__pods__3_pack__ONT019975,IVPS - SMOK IPX 80 (Pods)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,3.02,ONT019975,,
template_ivps___smok_m__coils__5_pack_,IVPS - SMOK M (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.88,,variant_type,"variant_ivps___smok_m__coils__5_pack__0_4ohm,variant_ivps___smok_m__coils__5_pack__0_6ohm,variant_ivps___smok_m__coils__5_pack__0_8ohm"
template_ivps___smok_nord__coils__5_pack_,IVPS - SMOK Nord (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.07,,variant_type,"variant_ivps___smok_nord__coils__5_pack__0_8ohm,variant_ivps___smok_nord__coils__5_pack__0_8ohm"
template_ivps___smok_nord_50w__pods__3_pack_,IVPS - SMOK Nord 50W (Pods)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,2.96,,variant_type,"variant_ivps___smok_nord_50w__pods__3_pack__variant_023122,variant_ivps___smok_nord_50w__pods__3_pack__variant_023123"
template_ivps___smok_nord_pro__coils__5_pack_,IVPS - SMOK Nord Pro (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,7.45,,variant_type,"variant_ivps___smok_nord_pro__coils__5_pack__0_6ohm_mesh,variant_ivps___smok_nord_pro__coils__5_pack__0_9ohm"
template_ivps___smok_novo__pods__3_pack_,IVPS - SMOK Novo (Pods)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,3.80,,variant_type,"variant_ivps___smok_novo__pods__3_pack__1_4ohm_ceramic,variant_ivps___smok_novo__pods__3_pack__1_2ohm_regular,variant_ivps___smok_novo__pods__3_pack__1_5ohm_regular"
template_ivps___smok_novo_2__pods__3_pack_,IVPS - SMOK Novo 2 (Pods)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,4.05,,variant_type,"variant_ivps___smok_novo_2__pods__3_pack__1_4ohm,variant_ivps___smok_novo_2__pods__3_pack__1_0ohm,variant_ivps___smok_novo_2__pods__3_pack__1_4ohm"
template_ivps___smok_novo_slr__pods__3_pack__2ml,IVPS - SMOK Novo SLR (Pods)(3-Pack) 2mL,__export__.product_category_9_bc43a31e,consu,True,4.11,,variant_type,"variant_ivps___smok_novo_slr__pods__3_pack__2ml_0_6ohm,variant_ivps___smok_novo_slr__pods__3_pack__2ml_0_8ohm,variant_ivps___smok_novo_slr__pods__3_pack__2ml_1_0ohm"
template_ivps___smok_prince__coils__3_pack_,IVPS - SMOK Prince (Coils)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,4.56,,variant_type,"variant_ivps___smok_prince__coils__3_pack__variant_002196,variant_ivps___smok_prince__coils__3_pack__0_2ohm,variant_ivps___smok_prince__coils__3_pack__variant_002186,variant_ivps___smok_prince__coils__3_pack__variant_002195,variant_ivps___smok_prince__coils__3_pack__0_15ohm,variant_ivps___smok_prince__coils__3_pack__variant_002187,variant_ivps___smok_prince__coils__3_pack__variant_002192,variant_ivps___smok_prince__coils__3_pack__variant_002194"
template_ivps___smok_tfv8__coils__3_pack_,IVPS - SMOK TFV8 (Coils)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,2.73,,variant_type,"variant_ivps___smok_tfv8__coils__3_pack__v8_t10,variant_ivps___smok_tfv8__coils__3_pack__v8_x4"
template_ivps___smok_vape_pen__coils__5_pack_,IVPS - SMOK Vape Pen (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.61,,variant_type,"variant_ivps___smok_vape_pen__coils__5_pack__0_25ohm,variant_ivps___smok_vape_pen__coils__5_pack__0_15ohm_mesh"
template_ivps___smok_vape_pen_22__coils__5_pack_,IVPS - SMOK Vape Pen 22 (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,5.70,,variant_type,"variant_ivps___smok_vape_pen_22__coils__5_pack__0_3ohm,variant_ivps___smok_vape_pen_22__coils__5_pack__x4_0_4ohm"
template_lstv___lost_vape_ub_lite__coils__5_pack_,LSTV - Lost Vape UB Lite (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,5.19,,variant_type,"variant_lstv___lost_vape_ub_lite__coils__5_pack__l7_0_3ohm,variant_lstv___lost_vape_ub_lite__coils__5_pack__l8_1_2ohm"
template_lstv___lost_vape_ub_max__coils__3_pack_,LSTV - Lost Vape UB Max (Coils)(3-Pack),__export__.product_category_9_bc43a31e,consu,True,4.62,,variant_type,"variant_lstv___lost_vape_ub_max__coils__3_pack__x1_0_15ohm,variant_lstv___lost_vape_ub_max__coils__3_pack__x3_0_3ohm"
template_lstv___lost_vape_ultra_boost__coils__5_pack_,LSTV - Lost Vape Ultra Boost (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,4.50,,variant_type,"variant_lstv___lost_vape_ultra_boost__coils__5_pack__m4_v2_0_2ohm,variant_lstv___lost_vape_ultra_boost__coils__5_pack__mtl_v1_1_0ohm"
template_lstv___lost_vape_ursa_v2__pods__3_pack__2_5ml,LSTV - Lost Vape Ursa V2 (Pods)(3-Pack) 2.5mL,__export__.product_category_9_bc43a31e,consu,True,4.52,,variant_type,"variant_lstv___lost_vape_ursa_v2__pods__3_pack__2_5ml_0_6ohm,variant_lstv___lost_vape_ursa_v2__pods__3_pack__2_5ml_0_8ohm"
template_oxbr___svopp_pods__liq_pod__30000puff__13ml__pod_juice_edt_,OXBR - SVOPP Pods (Liq Pod)(30000Puff)(13mL) Pod Juice Edt.,__export__.product_category_9_bc43a31e,consu,True,5.00,,variant_type,"variant_oxbr___svopp_pods__liq_pod__30000puff__13ml__pod_juice_edt__clear_ruby,variant_oxbr___svopp_pods__liq_pod__30000puff__13ml__pod_juice_edt__clear_turquoise"
template_pata___urban_tale_xplore__pods__3_pack__2ml,PATA - Urban Tale Xplore (Pods)(3-Pack) 2mL,__export__.product_category_9_bc43a31e,consu,True,4.40,,variant_type,"variant_pata___urban_tale_xplore__pods__3_pack__2ml_0_6ohm,variant_pata___urban_tale_xplore__pods__3_pack__2ml_0_8ohm"
template_schw___naked__liq_fb__60ml_,SCHW - Naked (LIQ FB)(60mL),__export__.product_category_9_bc43a31e,consu,True,0.00,,variant_type,"variant_schw___naked__liq_fb__60ml__variant_000103,variant_schw___naked__liq_fb__60ml__variant_000151,variant_schw___naked__liq_fb__60ml__variant_000175,variant_schw___naked__liq_fb__60ml__variant_000191,variant_schw___naked__liq_fb__60ml__variant_000107,variant_schw___naked__liq_fb__60ml__variant_000123,variant_schw___naked__liq_fb__60ml__variant_000147,variant_schw___naked__liq_fb__60ml__variant_000155"
template_surn___suorin_fero__pods__1pc__3ml,SURN - Suorin Fero (Pods)(1pc) 3mL,__export__.product_category_9_bc43a31e,consu,True,1.45,,variant_type,"variant_surn___suorin_fero__pods__1pc__3ml_0_6ohm,variant_surn___suorin_fero__pods__1pc__3ml_0_8ohm"
template_tbco___tobeco_super_tank__coils__5_pack_,TBCO - Tobeco Super Tank (Coils)(5-Pack),__export__.product_category_9_bc43a31e,consu,True,6.33,,variant_type,"variant_tbco___tobeco_super_tank__coils__5_pack__0_5ohm,variant_tbco___tobeco_super_tank__coils__5_pack__mesh_0_5ohm"
template_uwll___uwell_caliburn_a3s__pods__4_pack_,UWLL - Uwell Caliburn A3S (Pods)(4-Pack),__export__.product_category_9_bc43a31e,consu,True,6.42,,variant_type,"variant_uwll___uwell_caliburn_a3s__pods__4_pack__0_8ohm,variant_uwll___uwell_caliburn_a3s__pods__4_pack__1_0ohm"
template_uwll___uwell_caliburn_g__pods__2_pack_,UWLL - Uwell Caliburn G (Pods)(2-Pack),__export__.product_category_9_bc43a31e,consu,True,4.49,,variant_type,"variant_uwll___uwell_caliburn_g__pods__2_pack__1_0ohm,variant_uwll___uwell_caliburn_g__pods__2_pack__un2_mesh_h_0_8ohm"
