value,attribute,attribute/id,display_type,create_variant
.357(Buckshot),,__export__.product_attribute_38_d222431b,,
4/2/91 (Shake),,,,
7obacco,,,,
7obacco (Tobacco),,,,
A.S.A.P. (Apple Peach Strawberry),,,,
Aguamelone (Watermelon Ice),,,,
All Melon,,,,
Almond Cappuccino,,,,
Almond Cappucino,,,,
Aloe Black Currant,,,,
Aloe Grape Freeze,,,,
Aloe Grape Ice,,,,
Aloe Mango,,,,
Aloe Mango Ice,,,,
Aloe Mango Iced,,,,
Aloe Pineapple,,,,
Aloe Watermelon,,,,
Aloha Fusion,,,,
Alpine Melon,,,,
America,,,,
American Way,,,,
Angry Apple,,,,
Antidote Virus,,,,
Antidote on Ice,,,,
Apple,,,,
Apple Berries,,,,
Apple Berries Ice,,,,
Apple Blue Raspberry,,,,
Apple Blue Raspberry Freeze,,,,
Apple Butter,,,,
Apple Candy Ice (Sour Apple Ice),,,,
Apple Cinnamon,,,,
Apple Crumb,,,,
Apple Crumble Custard,,,,
Apple Fritter,,,,
Apple Grape Iced,,,,
Apple Grapefruit Mint,,,,
Apple Ice,,,,
Apple Iced,,,,
Apple Kiwi,,,,
Apple Melons,,,,
Apple Peach Rings,,,,
Apple Peach Strawberry,,,,
Apple Peach Strawberry Ice,,,,
Apple Surge,,,,
Apple Tobacco,,,,
Apple Watermelon Freeze,,,,
Apple Watermelon Ice,,,,
Apple Watermelon Iced,,,,
Appleberry,,,,
Applemint,,,,
Apricot Mango Peach Ice,,,,
Army Man,,,,
B.A.L (Berry Au Lait),,,,
BLGN Waffles,,,,
Baby Clouds (Sugar Baby),,,,
Bacco,,,,
Balanced,,,,
Banana Berry Punch,,,,
Banana Berry Smoothie,,,,
Banana Bread,,,,
Banana Cantaloupe Honeydew,,,,
Banana Cantaloupe Honeydew Iced,,,,
Banana Cereal,,,,
Banana Cream Pie,,,,
Banana Custard,,,,
Banana Dragonberry,,,,
Banana Dragonberry Ice,,,,
Banana Freeze,,,,
Banana Icy Runtz,,,,
Banana Milkshake,,,,
Banana Nut O's,,,,
Bangin' Blood Orange Iced,,,,
Belts,,,,
Berries Ice,,,,
Berries Iced,,,,
Berry,,,,
Berry Bash,,,,
Berry Blast Iced,,,,
Berry Blue Watermelon,,,,
Berry Bomb,,,,
Berry Bubble,,,,
Berry Citrus,,,,
Berry Crunch,,,,
Berry Drank,,,,
Berry Fusion Iced,,,,
Berry O's,,,,
Berry Rush,,,,
Berry Strawberry,,,,
Berry Watermelon,,,,
Bird Brains,,,,
Birthday Cannoli,,,,
Black Cherry Ice,,,,
Black Cherry Sour Apple,,,,
Black Ice Menthol,,,,
Black Menthol Ice,,,,
Blackberry,,,,
Blackberry Crumble,,,,
Blackberry Lemon,,,,
Blackberry Lemonade Ice,,,,
Blend No. 1,,,,
Blood Orange Banana,,,,
Blood Orange Cactus,,,,
Blood Orange Mango,,,,
Blood Orange Mango Ice,,,,
Blood Orange Peach,,,,
