id,name,categ_id/id,type,sale_ok,list_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_7dze_-_7daze_liq_fb100ml_fusion_tfn,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7255_06733063,__export__.product_attribute_value_7256_ee006a25,__export__.product_attribute_value_7569_66ab2ec3,__export__.product_attribute_value_7587_1dd67c2e,__export__.product_attribute_value_7588_0ba7771b,__export__.product_attribute_value_7731_9b43f5c5,__export__.product_attribute_value_7732_573c0f59,__export__.product_attribute_value_7751_7723cdb5,__export__.product_attribute_value_7752_542c2401,__export__.product_attribute_value_7874_adf70210,__export__.product_attribute_value_7880_4f278153,__export__.product_attribute_value_7881_63509191,__export__.product_attribute_value_7953_a9463062,__export__.product_attribute_value_7954_85bab955,__export__.product_attribute_value_7965_f846dd5a,__export__.product_attribute_value_8027_0f48e687,__export__.product_attribute_value_8028_86716a25,__export__.product_attribute_value_8112_3e761e84,__export__.product_attribute_value_8113_d89608cb,__export__.product_attribute_value_8117_39d31eef,__export__.product_attribute_value_8118_54eda5ee,__export__.product_attribute_value_8154_47164f6b,__export__.product_attribute_value_8155_a8bb6c6f,__export__.product_attribute_value_8266_78e65952,__export__.product_attribute_value_8267_d4159e34"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_7dze_-_7daze_liq_fb100ml_reds,7DZE - 7Daze (LIQ FB)(100mL) Reds,__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7218_d8de11e1,__export__.product_attribute_value_7231_db1c72ce,__export__.product_attribute_value_3420_125ec55d,__export__.product_attribute_value_7268_6d31dfd9,__export__.product_attribute_value_3932_1596fd91,__export__.product_attribute_value_7562_3b0fa4d4,__export__.product_attribute_value_3957_4b4a932a,__export__.product_attribute_value_3980_70153621,__export__.product_attribute_value_4256_aed7da75,__export__.product_attribute_value_4266_1c1fe6ec,__export__.product_attribute_value_7913_54732435,__export__.product_attribute_value_7922_471c9631,__export__.product_attribute_value_4873_8aa934a5,__export__.product_attribute_value_4908_d8b34f68,__export__.product_attribute_value_5126_dd81f716,__export__.product_attribute_value_5142_0d332f6c"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_7dze_-_7daze_liq_fb100ml_redskeep_it_100,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100,__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_8060_cebf9f1c,__export__.product_attribute_value_8061_04970a53"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_7dze_-_7daze_liq_fb100ml_tf-nic,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7196_f704eea3,__export__.product_attribute_value_7559_70e78467"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_7dze_-_7daze_liq_fb60ml_reds,7DZE - 7Daze (LIQ FB)(60mL) Reds,__export__.product_category_27_88c4d517,consu,True,1.39,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7541_0846c904,__export__.product_attribute_value_4031_582a9d82,__export__.product_attribute_value_7787_06fddf9e,__export__.product_attribute_value_8139_aa325d74"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8321_2a40bfd2,__export__.product_attribute_value_8338_1b1c5e4b"
template_7dze_-_7daze_liq_fb60ml_tf-nic,7DZE - 7Daze (LIQ FB)(60mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,0.95,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7197_fcff93c6
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8320_754bb761
template_7dze_-_7daze_liq_salt30ml_fusion_tfn,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN,__export__.product_category_27_88c4d517,consu,True,4.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7255_06733063,__export__.product_attribute_value_7568_a4e144a9,__export__.product_attribute_value_7569_66ab2ec3,__export__.product_attribute_value_7731_9b43f5c5,__export__.product_attribute_value_7732_573c0f59,__export__.product_attribute_value_7752_542c2401,__export__.product_attribute_value_7875_5546a502,__export__.product_attribute_value_7880_4f278153,__export__.product_attribute_value_7881_63509191,__export__.product_attribute_value_7953_a9463062,__export__.product_attribute_value_7954_85bab955,__export__.product_attribute_value_7964_41c60d03,__export__.product_attribute_value_8027_0f48e687,__export__.product_attribute_value_8028_86716a25,__export__.product_attribute_value_8112_3e761e84,__export__.product_attribute_value_8113_d89608cb,__export__.product_attribute_value_8116_d1d6c848,__export__.product_attribute_value_8155_a8bb6c6f,__export__.product_attribute_value_8267_d4159e34,__export__.product_attribute_value_8308_a5b09879,__export__.product_attribute_value_8309_0e13039b"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
template_7dze_-_7daze_liq_salt30ml_liqmate,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate,__export__.product_category_27_88c4d517,consu,True,4.40,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_3541_d22a09a0,__export__.product_attribute_value_3635_4cc89569,__export__.product_attribute_value_3910_329ff2f9,__export__.product_attribute_value_7584_6f2745fe,__export__.product_attribute_value_7614_ea1c35e4,__export__.product_attribute_value_7689_bc02bed8,__export__.product_attribute_value_7804_d426486e,__export__.product_attribute_value_8017_932f1512,__export__.product_attribute_value_8040_413b0098,__export__.product_attribute_value_4729_378d1ab2,__export__.product_attribute_value_8072_c262a602,__export__.product_attribute_value_8090_f334c6c3,__export__.product_attribute_value_8134_b8f72605,__export__.product_attribute_value_4962_2645deb7"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8324_caee7279,__export__.product_attribute_value_8336_91087ebe"
template_7dze_-_7daze_liq_salt30ml_reds,7DZE - 7Daze (LIQ Salt)(30mL) Reds,__export__.product_category_27_88c4d517,consu,True,4.67,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7218_d8de11e1,__export__.product_attribute_value_7232_51d4cf55,__export__.product_attribute_value_3420_125ec55d,__export__.product_attribute_value_7269_a0cb8659,__export__.product_attribute_value_3957_4b4a932a,__export__.product_attribute_value_7579_edd292fb,__export__.product_attribute_value_4256_aed7da75,__export__.product_attribute_value_7787_06fddf9e,__export__.product_attribute_value_7913_54732435,__export__.product_attribute_value_7922_471c9631,__export__.product_attribute_value_4873_8aa934a5,__export__.product_attribute_value_8139_aa325d74,__export__.product_attribute_value_5126_dd81f716,__export__.product_attribute_value_5142_0d332f6c"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
template_7dze_-_7daze_liq_salt30ml_redskeep_it_100,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100,__export__.product_category_27_88c4d517,consu,True,4.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_8060_cebf9f1c,__export__.product_attribute_value_8061_04970a53,__export__.product_attribute_value_8062_bc6a1e22"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
template_7dze_-_7daze_liq_salt30ml_tf-nic,7DZE - 7Daze (LIQ Salt)(30mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,4.75,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7559_70e78467
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
