id,name,categ_id/id,type,sale_ok,list_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_7dze_-_7daze_liq_fb100ml_fusion_tfn,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN,__export__.product_category_12_40483604,consu,True,5.75,,__export__.product_attribute_38_3ff3f277,"__export__.product_attribute_value_7453_d7766944,__export__.product_attribute_value_7454_a4c285d2,__export__.product_attribute_value_7767_dfa4f82a,__export__.product_attribute_value_7785_3cf522a1,__export__.product_attribute_value_7786_8cbb075a,__export__.product_attribute_value_7929_c54789ec,__export__.product_attribute_value_7930_0a3ab7a5,__export__.product_attribute_value_7949_29b2dfc0,__export__.product_attribute_value_7950_cbaf69a1,__export__.product_attribute_value_8072_5906ab01,__export__.product_attribute_value_8078_8068e5ce,__export__.product_attribute_value_8079_1ac4c847,__export__.product_attribute_value_8152_b7faf3d9,__export__.product_attribute_value_8153_f971e2f0,__export__.product_attribute_value_8164_172ebecd,__export__.product_attribute_value_8226_861f1192,__export__.product_attribute_value_8227_f0d4cd02,__export__.product_attribute_value_8311_b5f600de,__export__.product_attribute_value_8312_32993758,__export__.product_attribute_value_8316_0ffcd922,__export__.product_attribute_value_8317_b29ae67e,__export__.product_attribute_value_8353_50ed14a4,__export__.product_attribute_value_8354_ca5cc5ed,__export__.product_attribute_value_8468_92c08aff,__export__.product_attribute_value_8469_794aad5e"
,,,,,,,__export__.product_attribute_40_ba9aed44,"__export__.product_attribute_value_8942_24e2001a,__export__.product_attribute_value_8930_521b6c86,__export__.product_attribute_value_8939_ce32aa4e"
template_7dze_-_7daze_liq_fb100ml_reds,7DZE - 7Daze (LIQ FB)(100mL) Reds,__export__.product_category_12_40483604,consu,True,5.75,,__export__.product_attribute_38_3ff3f277,"__export__.product_attribute_value_5929_fa65d888,__export__.product_attribute_value_7429_6d175579,__export__.product_attribute_value_3420_de9cbe45,__export__.product_attribute_value_7466_ad90f8dd,__export__.product_attribute_value_3932_a40724ae,__export__.product_attribute_value_7760_fb550222,__export__.product_attribute_value_3957_6661c23d,__export__.product_attribute_value_3980_ed3400a9,__export__.product_attribute_value_4256_3d1b1743,__export__.product_attribute_value_4266_f46832ad,__export__.product_attribute_value_8111_108da694,__export__.product_attribute_value_8120_95e503c9,__export__.product_attribute_value_4873_a286b7a9,__export__.product_attribute_value_4908_2c11d600,__export__.product_attribute_value_5126_1b2f2a53,__export__.product_attribute_value_5142_7a78f9ea"
,,,,,,,__export__.product_attribute_40_ba9aed44,"__export__.product_attribute_value_8942_24e2001a,__export__.product_attribute_value_8930_521b6c86,__export__.product_attribute_value_8939_ce32aa4e"
template_7dze_-_7daze_liq_fb100ml_redskeep_it_100,7DZE - 7Daze (LIQ FB)(100mL) Reds/Keep It 100,__export__.product_category_12_40483604,consu,True,5.75,,__export__.product_attribute_38_3ff3f277,"__export__.product_attribute_value_8259_c44ca6a0,__export__.product_attribute_value_8260_02753023"
,,,,,,,__export__.product_attribute_40_ba9aed44,"__export__.product_attribute_value_8942_24e2001a,__export__.product_attribute_value_8930_521b6c86,__export__.product_attribute_value_8939_ce32aa4e"
template_7dze_-_7daze_liq_fb100ml_tf-nic,7DZE - 7Daze (LIQ FB)(100mL) TF-Nic,__export__.product_category_12_40483604,consu,True,5.75,,__export__.product_attribute_38_3ff3f277,"__export__.product_attribute_value_7395_4f1cdaf6,__export__.product_attribute_value_7757_02591d18"
,,,,,,,__export__.product_attribute_40_ba9aed44,"__export__.product_attribute_value_8930_521b6c86,__export__.product_attribute_value_8939_ce32aa4e"
template_7dze_-_7daze_liq_fb60ml_reds,7DZE - 7Daze (LIQ FB)(60mL) Reds,__export__.product_category_12_40483604,consu,True,1.39,,__export__.product_attribute_38_3ff3f277,"__export__.product_attribute_value_7739_e161ed77,__export__.product_attribute_value_4031_3428800a,__export__.product_attribute_value_7985_e3c1f36e,__export__.product_attribute_value_8338_dad773b9"
,,,,,,,__export__.product_attribute_40_ba9aed44,"__export__.product_attribute_value_8942_24e2001a,__export__.product_attribute_value_8923_d6b4f83e,__export__.product_attribute_value_8939_ce32aa4e"
