Internal Reference,Product Name,On Hand,Sales Price,Odoo Category,UoM Ratio,Minimum Purchase Qty,Company
ONT028590,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT028591,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew 06mg,15,5.75,All / Saleable / E-Juice,50,0.3,Doublelift
ONT028593,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028594,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Banana Cantaloupe Honeydew Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030684,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grape Apple Aloe Iced 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031390,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031393,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031394,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Grapefruit Orange Mango Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031367,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031369,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031370,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Kiwi Passion Guava Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028596,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028599,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028600,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Lemon Passionfruit Blueberry Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031384,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Cream Mango 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031385,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Cream Mango 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028602,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Yuzu Tangerine 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028603,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Yuzu Tangerine 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028605,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Yuzu Tangerine Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028606,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Orange Yuzu Tangerine Iced 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028607,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Coconut Banana 00mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028608,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Coconut Banana 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT028609,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Coconut Banana 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028611,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Coconut Banana Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028612,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Coconut Banana Iced 06mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT030702,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Pineapple Mango Orange Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028614,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Raspberry Green Apple Watermelon 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT028615,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Raspberry Green Apple Watermelon 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028617,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Raspberry Green Apple Watermelon Iced 03mg,25,5.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT028618,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Raspberry Green Apple Watermelon Iced 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031372,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Banana Apple 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031375,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Banana Apple Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031376,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Banana Apple Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030705,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Blackberry Lemon 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT030708,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Blackberry Lemon Iced 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030709,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Blackberry Lemon Iced 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030693,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Mango Nectarine 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030694,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Mango Nectarine 06mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030696,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Strawberry Mango Nectarine Iced 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031378,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Watermelon Apple Pear 03mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031379,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Watermelon Apple Pear 06mg,10,5.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031381,7DZE - 7Daze (LIQ FB)(100mL) Fusion TFN - Watermelon Apple Pear Iced 03mg,5,5.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT036888,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple 00mg,45,5.75,All / Saleable / E-Juice,50,0.9,Doublelift
ONT036889,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple 03mg,100,5.75,All / Saleable / E-Juice,50,2,Doublelift
ONT036890,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple 06mg,50,5.75,All / Saleable / E-Juice,50,1,Doublelift
ONT036909,7DZE - 7Daze (LIQ FB)(100mL) Reds - Apple Ice 00mg,20,5.75,All / Saleable / E-Juice,50,0.4,Doublelift
