"id","default_code","name","categ_id/id","attribute_line_ids/attribute_id","attribute_line_ids/attribute_id/id"
"__export__.product_template_2202_324310c9","","3Chi Delta 8 THC Vape Cartridges","__export__.product_category_14_7087c356","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_2408_24f3a603","PA80","5pcs Japanese Organic Cotton Pack","__export__.product_category_5_5c320d86","",""
"__export__.product_template_2386_667a625b","","7mL Bulb Pyrex Glass Tube for Horizon Falcon/Falcon King Tank","__export__.product_category_5_5c320d86","Quantity","__export__.product_attribute_42_b08c1ef8"
"__export__.product_template_1420_fbd7302c","","AIRFUZE Addon 40K Disposable Device - 40000 Puffs","__export__.product_category_11_9b55f30d","Addon Options","__export__.product_attribute_29_292d433c"
"","","","","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_2054_badcf660","","AIRFUZE Jet 20K Disposable Device – 20000 Puffs","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1967_b1f74ef9","","AIRFUZE Smart 30K Disposable Device - 30000 Puffs","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1591_f6fba3dd","","ARTERY CL6 Sweet & Ice Control Disposable Device - 50000 Puffs","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1225_fa29a90a","","ASTRO EIGHT Hash Hole 3g Blunt","__export__.product_category_14_7087c356","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1913_c20346b0","","ASTRO EIGHT Hash Hole 4G Pre-Rolls","__export__.product_category_14_7087c356","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1914_5752152f","","ASTRO EIGHT THC-A Liquid Diamonds Pre Rolls 20g","__export__.product_category_14_7087c356","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1825_ad2c0ac5","","Adjust mycool 40K Disposable Device - 40000 Puffs","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1808_ee53d6bc","","Air Factory MINT 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_2120_e22cbcae","","Airis NEO P8000 Disposable Vape","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_2108_032a8cea","","Airis NEO P9000 Disposable Vape","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_2115_d7b5ede7","","Aloha Sun 7000 Puffs Disposable Device - 7000 Puffs","__export__.product_category_11_9b55f30d","Flavor","__export__.product_attribute_38_3ff3f277"
"__export__.product_template_1616_d34865b0","","Aqua - Mist - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1615_3c779462","","Aqua - Pure - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_2340_bd8ffae4","","Aspire K Lite Starter Kit","__export__.product_category_15_821f60b4","Color","__export__.product_attribute_34_af1a1fa4"
"__export__.product_template_2407_6527a428","PA109","Aspire Triton Hollowed-Out Sleeve","__export__.product_category_5_5c320d86","",""
"__export__.product_template_2406_13021f97","CO54","Aspire Triton Tank Replacement Coil Head (Set of 5)","__export__.product_category_9_bc43a31e","Resistance","__export__.product_attribute_43_0704264c"
"__export__.product_template_1290_aed665b3","EJ221BA0","BAD DRIP - Bad Apple - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1288_542fbd0f","","BAD DRIP - Bad Apple Iced Out - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1287_cde90fe2","","BAD DRIP - Bad Blood - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1286_3b67e755","","BAD DRIP - Cereal Trip - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1280_3b8aad96","","BAD DRIP - Dead Lemon - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1284_e619e015","","BAD DRIP - Don’t Care Bear - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1283_817903ce","","BAD DRIP - Drooly - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1282_68be4115","","BAD DRIP - God Nectar - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1281_4a9597e6","","BAD DRIP - God Nectar Iced Out - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1279_8498a076","","BAD DRIP - Pennywise - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1278_1ed1c641","","BAD DRIP - Ugly Butter - 60ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1305_3472098e","","BAD SALT - Bad Apple - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1304_f66df28a","","BAD SALT - Bad Blood - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1301_04c999bc","","BAD SALT - Cereal Trip - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1300_12828846","","BAD SALT - Don’t Care Bear - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1303_44949ac9","","BAD SALT - Drooly - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1299_e64d8d68","","BAD SALT - Farley’s Gnarly Sauce - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1298_baf3c8ef","","BAD SALT - God Nectar - 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
"__export__.product_template_1302_621e585f","","BAD SALT - Laffy- 30ML E-Liquid","__export__.product_category_12_40483604","Nicotine Level","__export__.product_attribute_40_ba9aed44"
