"ID","Name","Variant Values"
"__export__.product_product_11912_4444e850","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Black"
"__export__.product_product_11913_94ebc282","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Blackish Green"
"__export__.product_product_11914_4bc3009f","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Blue"
"__export__.product_product_11916_206b1416","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Coffee"
"__export__.product_product_11915_4de6c30d","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Carbon Black"
"__export__.product_product_11917_c86418b7","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Gunmetal"
"__export__.product_product_11918_f4a51350","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Purple"
"__export__.product_product_11919_32e38776","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Rainbow"
"__export__.product_product_11920_7349d1c2","HorizonTech Falcon King Mesh Sub Ohm Tank","Color: Stainless Chrome"
"__export__.product_product_11865_f81da16f","SMOK TFV16 Return of the King Tank","Color: 7-Colors"
"__export__.product_product_11867_89c2c2de","SMOK TFV16 Return of the King Tank","Color: Blue"
"__export__.product_product_11866_fc374b95","SMOK TFV16 Return of the King Tank","Color: Black Plating"
"__export__.product_product_11868_12660f7b","SMOK TFV16 Return of the King Tank","Color: Gold"
"__export__.product_product_11869_5b402f40","SMOK TFV16 Return of the King Tank","Color: Red"
"__export__.product_product_11870_76b0e6c6","SMOK TFV16 Return of the King Tank","Color: Stainless Steel"
"__export__.product_product_11775_e623181c","Horizon Falcon II Sub Ohm Tank","Color: Blue"
"__export__.product_product_11776_7209ecd7","Horizon Falcon II Sub Ohm Tank","Color: Carbon Black"
"__export__.product_product_11777_6d101a9b","Horizon Falcon II Sub Ohm Tank","Color: Rainbow"
"__export__.product_product_11778_53df36ab","Horizon Falcon II Sub Ohm Tank","Color: Rose Gold"
"__export__.product_product_11779_d6836ed9","Horizon Falcon II Sub Ohm Tank","Color: Stainless Steel"
"__export__.product_product_11691_579be120","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Black"
"__export__.product_product_11692_ab2ffa9f","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Blue"
"__export__.product_product_11693_93e95eba","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Green"
"__export__.product_product_11694_8b289093","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Orange"
"__export__.product_product_11695_5771018e","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Red"
"__export__.product_product_11696_1d8d751d","Freemax Maxluke/Fireluke 3 Subohm Tank","Color: Yellow"
"__export__.product_product_11555_01c56b1e","Uwell Crown 5 V Tank 5ml","Color: Black"
"__export__.product_product_11556_dc77ebdb","Uwell Crown 5 V Tank 5ml","Color: Blue"
"__export__.product_product_11557_95330b9e","Uwell Crown 5 V Tank 5ml","Color: Red"
"__export__.product_product_11558_40ccfbfa","Uwell Crown 5 V Tank 5ml","Color: Silver"
